Park Code,Park Name,State,Acres,Longitude,Latitude
ACAD,Acadia National Park,ME,47390,-68.21,44.35
ARCH,Arches National Park,UT,76519,-109.57,38.68
BADL,Badlands National Park,SD,242756,-102.5,43.75
BIBE,Big Bend National Park,TX,801163,-103.25,29.25
BISC,Biscayne National Park,FL,172924,-80.08,25.65
BLCA,Black Canyon of the Gunnison National Park,CO,32950,-107.72,38.57
BRCA,Bryce Canyon National Park,UT,35835,-112.18,37.57
CANY,Canyonlands National Park,UT,337598,-109.93,38.2
CARE,Capitol Reef National Park,UT,241904,-111.17,38.2
CAVE,Carlsbad Caverns National Park,NM,46766,-104.44,32.17
CHIS,Channel Islands National Park,CA,249561,-119.42,34.01
CONG,Congaree National Park,SC,26546,-80.78,33.78
CRLA,Crater Lake National Park,OR,183224,-122.1,42.94
CUVA,Cuyahoga Valley National Park,OH,32950,-81.55,41.24
DENA,Denali National Park and Preserve,AK,3372402,-150.5,63.33
DEVA,Death Valley National Park,"CA, NV",4740912,-116.82,36.24
DRTO,Dry Tortugas National Park,FL,64701,-82.87,24.63
EVER,Everglades National Park,FL,1508538,-80.93,25.32
GAAR,Gates Of The Arctic National Park and Preserve,AK,7523898,-153.3,67.78
GLAC,Glacier National Park,MT,1013572,-114,48.8
GLBA,Glacier Bay National Park and Preserve,AK,3224840,-137,58.5
GRBA,Great Basin National Park,NV,77180,-114.3,38.98
GRCA,Grand Canyon National Park,AZ,1217403,-112.14,36.06
GRSA,Great Sand Dunes National Park and Preserve,CO,42984,-105.51,37.73
GRSM,Great Smoky Mountains National Park,"TN, NC",521490,-83.53,35.68
GRTE,Grand Teton National Park,WY,309995,-110.8,43.73
GUMO,Guadalupe Mountains National Park,TX,86416,-104.87,31.92
HALE,Haleakala National Park,HI,29094,-156.17,20.72
HAVO,Hawaii Volcanoes National Park,HI,323431,-155.2,19.38
HOSP,Hot Springs National Park,AR,5550,-93.05,34.51
ISRO,Isle Royale National Park,MI,571790,-88.55,48.1
JOTR,Joshua Tree National Park,CA,789745,-115.9,33.79
KATM,Katmai National Park and Preserve,AK,3674530,-155,58.5
KEFJ,Kenai Fjords National Park,AK,669983,-149.65,59.92
KOVA,Kobuk Valley National Park,AK,1750717,-159.28,67.55
LACL,Lake Clark National Park and Preserve,AK,2619733,-153.42,60.97
LAVO,Lassen Volcanic National Park,CA,106372,-121.51,40.49
MACA,Mammoth Cave National Park,KY,52830,-86.1,37.18
MEVE,Mesa Verde National Park,CO,52122,-108.49,37.18
MORA,Mount Rainier National Park,WA,235625,-121.75,46.85
NOCA,North Cascades National Park,WA,504781,-121.2,48.7
OLYM,Olympic National Park,WA,922651,-123.5,47.97
PEFO,Petrified Forest National Park,AZ,93533,-109.78,35.07
PINN,Pinnacles National Park,CA,26606,-121.16,36.48
REDW,Redwood National Park,CA,112512,-124,41.3
ROMO,Rocky Mountain National Park,CO,265828,-105.58,40.4
SAGU,Saguaro National Park,AZ,91440,-110.5,32.25
SEKI,Sequoia and Kings Canyon National Parks,CA,865952,-118.68,36.43
SHEN,Shenandoah National Park,VA,199045,-78.35,38.53
THRO,Theodore Roosevelt National Park,ND,70447,-103.45,46.97
VOYA,Voyageurs National Park,MN,218200,-92.88,48.5
WICA,Wind Cave National Park,SD,28295,-103.48,43.57
WRST,Wrangell - St Elias National Park and Preserve,AK,8323148,-142,61
YELL,Yellowstone National Park,"WY, MT, ID",2219791,-110.5,44.6
YOSE,Yosemite National Park,CA,761266,-119.5,37.83
ZION,Zion National Park,UT,146598,-113.05,37.3